request_id,location,item,category,quantity_needed,weight_per_unit,cost_per_unit,people_served,urgency,request_date
1,North District,Water Kits,Water,80,3,18,500.0,9,2026-08-21
2,North District ,Rice Packs,Food,120,5,22,420.0,8,2026-08-21
3,East District,Medical Kits,Medical,40,4,35,650.0,10,2026-08-22
4,East District,Blankets,,100,2,12,300.0,7,2026-08-22
5,South District,Water Kits,Water,70,3,18,470.0,9,2026-08-22
6,South District,Hygiene Kits,Hygiene,90,2,14,,7,2026-08-23
7,West District,Medical Kits,Medical,35,4,35,590.0,10,2026-08-23
8,West District,Tarps,Shelter,60,3,16,280.0,8,2026-08-23
9,Central District,Rice Packs,Food,-110,5,22,390.0,8,2026-08-24
10,Central District,Water Kits,Water,90,3,18,520.0,12,2026-08-24
8,West District,Tarps,Shelter,60,3,16,280.0,8,2026-08-23
